image_path,breed,source
kaggle/afghan_hound/afghan_hound0.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound1.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound10.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound100.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound101.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound102.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound103.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound104.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound105.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound106.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound107.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound108.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound109.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound110.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound111.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound112.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound113.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound114.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound115.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound12.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound14.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound15.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound16.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound17.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound19.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound2.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound20.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound21.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound22.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound23.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound24.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound25.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound26.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound27.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound28.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound29.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound30.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound31.jpg,afghan_hound,kaggle
kaggle/afghan_hound/afghan_hound33.jpg,afghan_hound,kaggle
